ocid,provisional_label,cohort,lv_2025-06-12,lv_2025-09-24,lv_2025-12-12,lv_2026-03-15,lv_2026-06-12,lv_2026-09-02
46f89255dba4d53a4d1d704d64a18049efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,231,231,231,241,255,260
8a2e84b80fe6905000e98192ef67970c,Persistent_cand,at260,200,204,214,260,260,260
2ab1d52dfb9a2b08a4b2876a570615b7,Persistent_cand,at260,253,255,257,260,260,260
dc9e8579a19eddd613b717d71d43683b,Persistent_cand,burnend,270,273,275,278,281,283
d821168c54554f49655aec0b3766c96d,Persistent_cand,burnend,271,273,275,276,280,285
29b96c5c104ebdc287fa638db2e5f56c,Persistent_cand,at260,200,204,234,260,260,260
740ac6e7aec65be19f83fa6aabd3bec5,Persistent_cand,at260,230,232,232,241,260,260
e9846107fe71ed0edbac241f122a1037efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,burnend,266,270,273,279,281,282
980246ee30088f65a3049bc9d465a6a286e68d4012202d0434d05f81868f68e3,Persistent_cand,climb,204,233,250,250,256,256
3b0d0f682f1fcaa3221799be6ff0b198efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,at260,211,211,235,256,260,260
e75ce841e3435551d62926fa97ac2eae,Persistent_cand,burnend,273,275,275,275,281,284
021d71c6c5fce78fcc38720dc5ff520a,Persistent_cand,climb,214,214,225,225,255,260
6bca448fe48ca75d1fece04eff4801e2,Persistent_cand,climb,232,239,242,246,255,259
6aae561357d4fec7ce1b834466533cbcefe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,at260,233,233,235,245,260,260
680adcb996a46a5e066515818a07d82d,Persistent_cand,at260,218,220,220,241,260,260
ce30e9957cb3fc25d2ba4f178103d41b,Persistent_cand,at260,230,235,239,250,260,260
e1867cbb6dea38527b6c1b9c5e1e2ba9,Persistent_cand,climb,200,200,200,202,256,260
dd435ab7afe9c98fee5ed036b8782177,Persistent_cand,burnend,270,274,275,279,281,281
40ee830dd76b647e0a614cfdc26fd3ffefe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,at260,235,235,245,253,260,260
0819c074134191d8a8d34603c42b2cc1efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,at260,229,253,258,258,260,260
630bcdbe0858d96fc5ddda08bc14185d,Persistent_cand,climb,220,220,220,235,256,260
b8fb991ac33bb357f17b911517b24a30efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,burnend,265,271,275,277,281,281
dbd82ad31c5f946c5968940797fc4fb0,Persistent_cand,climb,228,230,230,236,256,262
ab104888755f3eca685377541bca7f04,Persistent_cand,past260,250,252,257,260,261,262
edeecb5bc4974dc8a8f61156de921ec7,Persistent_cand,burnend,270,275,277,280,281,282
9aab4dd34ad974a974fa24bd593b351aefe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,at260,220,225,250,250,260,260
a35f4d0b3c1f76de607cd275cd647e10,Seasonal_Parker,burnend,276,279,280,280,280,282
aed59f313aca1957cce26cb72591dfc9,Seasonal_Parker,at260,200,260,260,260,260,260
c463d28a20e7e17a5a476039e2d10c16,Seasonal_Parker,burnend,273,279,280,280,281,284
992c873304c93ecf38c80df9c3652bfa,Seasonal_Parker,past260,215,262,262,262,262,262
7e3780b4c672a5f03b4396997df1b4dc,Seasonal_Parker,burnend,277,281,281,281,281,281
982dc7a6471454c31036731b5f85501eefe8d04e6d233bd35cf2fabdeb93fb0d,Seasonal_Parker,burnend,278,281,281,281,281,281
9f4cc7c9bc459a93e9b62d58436f0a07efe8d04e6d233bd35cf2fabdeb93fb0d,Seasonal_Parker,at260,257,260,260,260,260,260
1214f332b95d0b753733d2bad3f76b1eefe8d04e6d233bd35cf2fabdeb93fb0d,Seasonal_Parker,climb,140,255,255,255,255,256
b99dd86bb08330a2b14eb92c972c2e11,Seasonal_Parker,past260,250,261,262,262,262,265
78e428db27a554c0141925a26623910e,Seasonal_Parker,at260,255,260,260,260,260,260
cb07d788840dc65eaa2a1ad1835eb28e,Seasonal_Parker,at260,225,260,260,260,260,260
